timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685185684881,6,Home,200,OK,Thread Group 1-1,text,true,,1497,253,4,4,http://localhost:8080/jpetstore/,5,0,2
1685185684881,5,Home-0,302,Found,Thread Group 1-1,,true,,146,126,4,4,http://localhost:8080/jpetstore,5,0,2
1685185684886,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,127,4,4,http://localhost:8080/jpetstore/,1,0,0
1685185685307,7,Home,200,OK,Thread Group 1-2,text,true,,1497,253,6,6,http://localhost:8080/jpetstore/,4,0,1
1685185685307,4,Home-0,302,Found,Thread Group 1-2,,true,,146,126,6,6,http://localhost:8080/jpetstore,4,0,1
1685185685311,3,Home-1,200,OK,Thread Group 1-2,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,3,0,0
1685185685647,3,Home,200,OK,Thread Group 1-3,text,true,,1497,253,6,6,http://localhost:8080/jpetstore/,2,0,1
1685185685647,2,Home-0,302,Found,Thread Group 1-3,,true,,146,126,6,6,http://localhost:8080/jpetstore,2,0,1
1685185685649,1,Home-1,200,OK,Thread Group 1-3,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,1,0,0
1685185686091,6,Home,200,OK,Thread Group 1-4,text,true,,1497,253,7,7,http://localhost:8080/jpetstore/,3,0,1
1685185686091,3,Home-0,302,Found,Thread Group 1-4,,true,,146,126,7,7,http://localhost:8080/jpetstore,3,0,1
1685185686095,2,Home-1,200,OK,Thread Group 1-4,text,true,,1351,127,7,7,http://localhost:8080/jpetstore/,2,0,0
1685185686457,4,Main Catalog,200,OK,Thread Group 1-1,text,true,,5762,399,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685185686490,3,Home,200,OK,Thread Group 1-5,text,true,,1497,253,8,8,http://localhost:8080/jpetstore/,2,0,1
1685185686490,2,Home-0,302,Found,Thread Group 1-5,,true,,146,126,8,8,http://localhost:8080/jpetstore,2,0,1
1685185686492,1,Home-1,200,OK,Thread Group 1-5,text,true,,1351,127,8,8,http://localhost:8080/jpetstore/,1,0,0
1685185686840,3,Home,200,OK,Thread Group 1-6,text,true,,1497,253,9,9,http://localhost:8080/jpetstore/,2,0,0
1685185686840,2,Home-0,302,Found,Thread Group 1-6,,true,,146,126,9,9,http://localhost:8080/jpetstore,2,0,0
1685185686842,1,Home-1,200,OK,Thread Group 1-6,text,true,,1351,127,9,9,http://localhost:8080/jpetstore/,1,0,0
1685185686879,5,Main Catalog,200,OK,Thread Group 1-2,text,true,,5762,399,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185687212,5,Main Catalog,200,OK,Thread Group 1-3,text,true,,5762,399,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185687218,6,Home,200,OK,Thread Group 1-7,text,true,,1497,253,10,10,http://localhost:8080/jpetstore/,3,0,1
1685185687218,3,Home-0,302,Found,Thread Group 1-7,,true,,146,126,10,10,http://localhost:8080/jpetstore,3,0,1
1685185687222,2,Home-1,200,OK,Thread Group 1-7,text,true,,1351,127,10,10,http://localhost:8080/jpetstore/,2,0,0
1685185687649,3,Main Catalog,200,OK,Thread Group 1-4,text,true,,5762,399,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685185687650,4,Home,200,OK,Thread Group 1-8,text,true,,1497,253,11,11,http://localhost:8080/jpetstore/,3,0,1
1685185687650,3,Home-0,302,Found,Thread Group 1-8,,true,,146,126,11,11,http://localhost:8080/jpetstore,3,0,1
1685185687653,1,Home-1,200,OK,Thread Group 1-8,text,true,,1351,127,11,11,http://localhost:8080/jpetstore/,1,0,0
1685185687997,4,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,399,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185688025,6,Sign In,200,OK,Thread Group 1-1,text,true,,3919,545,12,12,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185688067,5,Home,200,OK,Thread Group 1-9,text,true,,1497,253,12,12,http://localhost:8080/jpetstore/,3,0,1
1685185688067,3,Home-0,302,Found,Thread Group 1-9,,true,,146,126,12,12,http://localhost:8080/jpetstore,3,0,1
1685185688071,1,Home-1,200,OK,Thread Group 1-9,text,true,,1351,127,12,12,http://localhost:8080/jpetstore/,1,0,0
1685185688368,5,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,399,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185688413,4,Sign In,200,OK,Thread Group 1-2,text,true,,3923,545,13,13,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,4,0,0
1685185688478,5,Home,200,OK,Thread Group 1-10,text,true,,1497,253,13,13,http://localhost:8080/jpetstore/,3,0,1
1685185688478,3,Home-0,302,Found,Thread Group 1-10,,true,,146,126,13,13,http://localhost:8080/jpetstore,3,0,1
1685185688481,2,Home-1,200,OK,Thread Group 1-10,text,true,,1351,127,13,13,http://localhost:8080/jpetstore/,2,0,0
1685185688747,3,Sign In,200,OK,Thread Group 1-3,text,true,,3921,545,14,14,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,3,0,0
1685185688799,4,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,399,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185688862,6,Home,200,OK,Thread Group 1-11,text,true,,1497,253,14,14,http://localhost:8080/jpetstore/,4,0,1
1685185688862,4,Home-0,302,Found,Thread Group 1-11,,true,,146,126,14,14,http://localhost:8080/jpetstore,4,0,1
1685185688866,2,Home-1,200,OK,Thread Group 1-11,text,true,,1351,127,14,14,http://localhost:8080/jpetstore/,2,0,0
1685185689174,7,Sign In,200,OK,Thread Group 1-4,text,true,,3921,545,15,15,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,7,0,0
1685185689216,5,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,399,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185689291,5,Home,200,OK,Thread Group 1-12,text,true,,1497,253,15,15,http://localhost:8080/jpetstore/,3,0,1
1685185689291,3,Home-0,302,Found,Thread Group 1-12,,true,,146,126,15,15,http://localhost:8080/jpetstore,3,0,1
1685185689294,2,Home-1,200,OK,Thread Group 1-12,text,true,,1351,127,15,15,http://localhost:8080/jpetstore/,2,0,0
1685185689570,5,Sign In,200,OK,Thread Group 1-5,text,true,,3925,545,16,16,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,5,0,0
1685185689659,2,Main Catalog,200,OK,Thread Group 1-9,text,true,,5762,399,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685185689699,3,Home,200,OK,Thread Group 1-13,text,true,,1497,253,16,16,http://localhost:8080/jpetstore/,2,0,1
1685185689699,2,Home-0,302,Found,Thread Group 1-13,,true,,146,126,16,16,http://localhost:8080/jpetstore,2,0,1
1685185689701,1,Home-1,200,OK,Thread Group 1-13,text,true,,1351,127,16,16,http://localhost:8080/jpetstore/,1,0,0
1685185689936,6,Sign In,200,OK,Thread Group 1-6,text,true,,3925,545,17,17,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185689997,6,Main Catalog,200,OK,Thread Group 1-10,text,true,,5762,399,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185690086,6,Home,200,OK,Thread Group 1-14,text,true,,1497,253,17,17,http://localhost:8080/jpetstore/,4,0,1
1685185690086,4,Home-0,302,Found,Thread Group 1-14,,true,,146,126,17,17,http://localhost:8080/jpetstore,4,0,1
1685185690090,2,Home-1,200,OK,Thread Group 1-14,text,true,,1351,127,17,17,http://localhost:8080/jpetstore/,2,0,0
1685185690398,6,Sign In,200,OK,Thread Group 1-7,text,true,,3921,545,18,18,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185690460,5,Main Catalog,200,OK,Thread Group 1-11,text,true,,5762,399,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185690473,5,Home,200,OK,Thread Group 1-15,text,true,,1497,253,18,18,http://localhost:8080/jpetstore/,3,0,1
1685185690473,3,Home-0,302,Found,Thread Group 1-15,,true,,146,126,18,18,http://localhost:8080/jpetstore,3,0,1
1685185690476,2,Home-1,200,OK,Thread Group 1-15,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,2,0,0
1685185690762,4,Sign In,200,OK,Thread Group 1-8,text,true,,3925,545,19,19,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,4,0,0
1685185690827,6,Home,200,OK,Thread Group 1-16,text,true,,1497,253,19,19,http://localhost:8080/jpetstore/,4,0,2
1685185690827,4,Home-0,302,Found,Thread Group 1-16,,true,,146,126,19,19,http://localhost:8080/jpetstore,4,0,2
1685185690831,2,Home-1,200,OK,Thread Group 1-16,text,true,,1351,127,19,19,http://localhost:8080/jpetstore/,2,0,0
1685185690859,4,Main Catalog,200,OK,Thread Group 1-12,text,true,,5762,399,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185691218,6,Sign In,200,OK,Thread Group 1-9,text,true,,3925,545,20,20,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185691237,8,Home,200,OK,Thread Group 1-17,text,true,,1497,253,20,20,http://localhost:8080/jpetstore/,5,0,2
1685185691237,5,Home-0,302,Found,Thread Group 1-17,,true,,146,126,20,20,http://localhost:8080/jpetstore,5,0,2
1685185691242,3,Home-1,200,OK,Thread Group 1-17,text,true,,1351,127,20,20,http://localhost:8080/jpetstore/,2,0,0
1685185691278,5,Main Catalog,200,OK,Thread Group 1-13,text,true,,5762,399,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185691552,6,Sign In,200,OK,Thread Group 1-10,text,true,,3923,545,21,21,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185691603,4,Main Catalog,200,OK,Thread Group 1-14,text,true,,5762,399,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185691675,4,Login,200,OK,Thread Group 1-1,text,true,,5262,1505,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685185691675,2,Login-0,302,Found,Thread Group 1-1,,true,,193,880,21,21,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685185691677,2,Login-1,200,OK,Thread Group 1-1,text,true,,5069,625,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685185691682,2,Home,200,OK,Thread Group 1-18,text,true,,1497,253,21,21,http://localhost:8080/jpetstore/,1,0,0
1685185691682,1,Home-0,302,Found,Thread Group 1-18,,true,,146,126,21,21,http://localhost:8080/jpetstore,1,0,0
1685185691683,1,Home-1,200,OK,Thread Group 1-18,text,true,,1351,127,21,21,http://localhost:8080/jpetstore/,1,0,0
1685185691982,7,Sign In,200,OK,Thread Group 1-11,text,true,,3921,545,22,22,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,7,0,0
1685185692034,6,Home,200,OK,Thread Group 1-19,text,true,,1497,253,22,22,http://localhost:8080/jpetstore/,4,0,1
1685185692034,4,Home-0,302,Found,Thread Group 1-19,,true,,146,126,22,22,http://localhost:8080/jpetstore,4,0,1
1685185692038,2,Home-1,200,OK,Thread Group 1-19,text,true,,1351,127,22,22,http://localhost:8080/jpetstore/,2,0,0
1685185692044,5,Main Catalog,200,OK,Thread Group 1-15,text,true,,5762,399,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185692092,12,Login,200,OK,Thread Group 1-2,text,true,,5262,1505,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1685185692092,7,Login-0,302,Found,Thread Group 1-2,,true,,193,880,22,22,http://localhost:8080/jpetstore/actions/Account.action,7,0,0
1685185692100,4,Login-1,200,OK,Thread Group 1-2,text,true,,5069,625,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185692367,6,Main Catalog,200,OK,Thread Group 1-16,text,true,,5762,399,23,23,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1685185692370,11,Login,200,OK,Thread Group 1-3,text,true,,5262,1505,23,23,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1685185692370,6,Login-0,302,Found,Thread Group 1-3,,true,,193,880,23,23,http://localhost:8080/jpetstore/actions/Account.action,6,0,0
1685185692376,5,Login-1,200,OK,Thread Group 1-3,text,true,,5069,625,23,23,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185692424,6,Sign In,200,OK,Thread Group 1-12,text,true,,3923,545,23,23,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185692426,5,Home,200,OK,Thread Group 1-20,text,true,,1497,253,23,23,http://localhost:8080/jpetstore/,3,0,1
1685185692426,3,Home-0,302,Found,Thread Group 1-20,,true,,146,126,23,23,http://localhost:8080/jpetstore,3,0,1
1685185692430,1,Home-1,200,OK,Thread Group 1-20,text,true,,1351,127,23,23,http://localhost:8080/jpetstore/,1,0,0
1685185692769,5,Main Catalog,200,OK,Thread Group 1-17,text,true,,5762,399,24,24,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685185692828,6,Sign In,200,OK,Thread Group 1-13,text,true,,3925,545,24,24,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1685185692827,11,Login,200,OK,Thread Group 1-4,text,true,,5262,1505,24,24,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1685185692827,7,Login-0,302,Found,Thread Group 1-4,,true,,193,880,24,24,http://localhost:8080/jpetstore/actions/Account.action,7,0,0
1685185692834,4,Login-1,200,OK,Thread Group 1-4,text,true,,5069,625,24,24,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185692862,5,Home,200,OK,Thread Group 1-21,text,true,,1497,253,24,24,http://localhost:8080/jpetstore/,3,0,1
1685185692862,3,Home-0,302,Found,Thread Group 1-21,,true,,146,126,24,24,http://localhost:8080/jpetstore,3,0,1
1685185692865,2,Home-1,200,OK,Thread Group 1-21,text,true,,1351,127,24,24,http://localhost:8080/jpetstore/,2,0,0
1685185693169,10,Login,200,OK,Thread Group 1-5,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1685185693169,6,Login-0,302,Found,Thread Group 1-5,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,6,0,0
1685185693175,4,Login-1,200,OK,Thread Group 1-5,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685185693192,7,Sign In,200,OK,Thread Group 1-14,text,true,,3921,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,7,0,0
1685185693224,5,Home,200,OK,Thread Group 1-22,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,3,0,1
1685185693224,3,Home-0,302,Found,Thread Group 1-22,,true,,146,126,25,25,http://localhost:8080/jpetstore,3,0,1
1685185693227,2,Home-1,200,OK,Thread Group 1-22,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1685185693236,5,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,5,0,0
